City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
2,Ushuaia,AR,47.86,clear sky,-54.8,-68.3,Albatross Hotel
5,Busselton,AU,48.49,clear sky,-33.65,115.3333,Observatory Guest House
12,Beyneu,KZ,54.19,clear sky,45.3167,55.2,NUR
13,Mataura,NZ,47.48,moderate rain,-46.1927,168.8643,Ellie's Villa
14,Talnakh,RU,29.21,broken clouds,69.4865,88.3972,Talnakh Hotel
19,Kodiak,US,53.11,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
20,Torbay,CA,50.58,broken clouds,47.6666,-52.7314,Gallows Cove
21,East London,ZA,67.86,few clouds,-33.0153,27.9116,Tu Casa
25,Hay River,CA,53.58,few clouds,60.8156,-115.7999,Ptarmigan Inn
26,Bluff,NZ,47.8,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
27,Pevek,RU,31.06,overcast clouds,69.7008,170.3133,Severnoye Zoloto
31,Nikolskoye,RU,45.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
33,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Tiksi,RU,24.87,overcast clouds,71.6872,128.8694,Arktika
35,Tasiilaq,GL,37.56,light rain,65.6145,-37.6368,The Red House
36,Barrow,US,26.62,overcast clouds,71.2906,-156.7887,King Eider Inn
37,Hobart,AU,48.06,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
38,Arys,KZ,53.64,overcast clouds,42.4252,68.795,Gostinitsa
39,High Level,CA,60.91,smoke,58.5169,-117.136,Days Inn by Wyndham High Level
40,Severobaykalsk,RU,27.43,overcast clouds,55.65,109.3167,Hostel03RUS
42,Saint-Francois,FR,63.84,clear sky,46.4154,3.9054,Maison Vin d'Hus
43,Qaanaaq,GL,10.04,few clouds,77.484,-69.3632,Qaanaaq Hotel
45,Gravdal,NO,50.29,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
49,Asosa,ET,60.13,moderate rain,10.0667,34.5333,Blendana Hotel Assosa
50,Bronnoysund,NO,50.0,broken clouds,65.4625,12.1997,Corner Hotel
51,Havoysund,NO,43.03,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
56,Glazov,RU,52.41,overcast clouds,58.1394,52.6584,Gostinitsa Glazov
57,Yellowknife,CA,43.32,light rain,62.456,-114.3525,The Explorer Hotel
58,Carahue,CL,65.21,overcast clouds,-38.7,-73.1667,Hospedaje Familiar
63,Tuatapere,NZ,44.65,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
64,Goderich,CA,59.32,clear sky,43.7501,-81.7165,Harmony Inn
65,Timra,SE,47.68,fog,62.487,17.3257,Bergefors park
67,Cape Town,ZA,62.89,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
