City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,75,9.22,broken clouds
1,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,100,5.75,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,47.86,46,0,3.44,clear sky
3,Takoradi,GH,4.8845,-1.7554,76.24,87,24,5.7,few clouds
4,Buala,SB,-8.145,159.5921,79.32,82,23,3.74,few clouds
5,Busselton,AU,-33.65,115.3333,48.49,75,10,12.88,clear sky
6,Souillac,MU,-20.5167,57.5167,71.98,68,75,9.22,broken clouds
7,Ajdabiya,LY,30.7554,20.2263,76.82,56,0,19.3,clear sky
8,Pascagoula,US,30.3658,-88.5561,87.42,38,0,6.91,clear sky
9,Butaritari,KI,3.0707,172.7902,81.36,78,58,17.25,light rain
10,Ribeira Grande,PT,38.5167,-28.7,73.8,88,40,10.36,scattered clouds
11,Vohibinany,MG,-17.35,49.0333,60.08,96,1,2.21,clear sky
12,Beyneu,KZ,45.3167,55.2,54.19,36,0,18.59,clear sky
13,Mataura,NZ,-46.1927,168.8643,47.48,99,25,5.55,moderate rain
14,Talnakh,RU,69.4865,88.3972,29.21,95,67,9.55,broken clouds
15,Oyama,JP,36.3,139.8,73.58,74,100,1.68,overcast clouds
16,Vaini,TO,-21.2,-175.2,75.36,88,40,9.22,scattered clouds
17,Kaduna,NG,10.5222,7.4383,73.13,90,100,5.26,overcast clouds
18,Provideniya,RU,64.3833,-173.3,34.72,80,13,9.22,few clouds
19,Kodiak,US,57.79,-152.4072,53.11,71,75,3.44,broken clouds
20,Torbay,CA,47.6666,-52.7314,50.58,62,75,11.99,broken clouds
21,East London,ZA,-33.0153,27.9116,67.86,88,11,15.77,few clouds
22,Cayenne,GF,4.9333,-52.3333,89.64,55,40,9.22,scattered clouds
23,Kavieng,PG,-2.5744,150.7967,81.46,76,2,10.2,light rain
24,Castro,BR,-24.7911,-50.0119,71.51,61,75,4.43,broken clouds
25,Hay River,CA,60.8156,-115.7999,53.58,50,20,25.32,few clouds
26,Bluff,NZ,-46.6,168.3333,47.8,81,100,22.44,moderate rain
27,Pevek,RU,69.7008,170.3133,31.06,96,100,8.08,overcast clouds
28,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,87,72,14.25,broken clouds
29,Georgetown,MY,5.4112,100.3354,79.9,91,40,4.61,scattered clouds
30,Avarua,CK,-21.2078,-159.775,73.45,68,40,11.5,scattered clouds
31,Nikolskoye,RU,59.7035,30.7861,45.79,96,100,4.88,overcast clouds
32,Albany,US,42.6001,-73.9662,58.33,67,100,9.26,overcast clouds
33,Hermanus,ZA,-34.4187,19.2345,60.8,85,0,13.96,clear sky
34,Tiksi,RU,71.6872,128.8694,24.87,88,100,12.28,overcast clouds
35,Tasiilaq,GL,65.6145,-37.6368,37.56,96,100,26.96,light rain
36,Barrow,US,71.2906,-156.7887,26.62,80,100,11.5,overcast clouds
37,Hobart,AU,-42.8794,147.3294,48.06,92,40,5.75,scattered clouds
38,Arys,KZ,42.4252,68.795,53.64,25,93,7.58,overcast clouds
39,High Level,CA,58.5169,-117.136,60.91,31,20,10.36,smoke
40,Severobaykalsk,RU,55.65,109.3167,27.43,64,99,4.14,overcast clouds
41,Kapaa,US,22.0752,-159.319,75.09,92,100,12.66,moderate rain
42,Saint-Francois,FR,46.4154,3.9054,63.84,72,0,3.44,clear sky
43,Qaanaaq,GL,77.484,-69.3632,10.04,74,17,7.65,few clouds
44,Lufilufi,WS,-13.8745,-171.5986,79.9,64,7,18.32,clear sky
45,Gravdal,NO,68.1214,13.5031,50.29,90,100,9.95,overcast clouds
46,Kavaratti,IN,10.5669,72.642,81.32,77,100,11.79,light rain
47,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,75,12.66,broken clouds
48,Teguldet,RU,57.3064,88.1667,25.39,90,43,2.86,scattered clouds
49,Asosa,ET,10.0667,34.5333,60.13,95,54,3.56,moderate rain
50,Bronnoysund,NO,65.4625,12.1997,50.0,93,75,2.3,broken clouds
51,Havoysund,NO,70.9963,24.6622,43.03,83,100,1.74,overcast clouds
52,Mariel,CU,22.9875,-82.7536,84.34,60,7,10.83,clear sky
53,Hilo,US,19.7297,-155.09,87.28,66,0,4.61,clear sky
54,Pangai,TO,-19.8,-174.35,77.11,65,40,11.5,scattered clouds
55,Akdepe,TM,42.0551,59.3788,46.49,21,6,8.57,clear sky
56,Glazov,RU,58.1394,52.6584,52.41,94,100,11.61,overcast clouds
57,Yellowknife,CA,62.456,-114.3525,43.32,70,75,32.99,light rain
